Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
ST.SOLDIER ELITE CONVENT SCHOOL,1630525,PUNJAB,AMRITSAR,"JYOTISAR COLONY, JANDIALA GURU.",143115,http://www.ssecschool.com,2004,,AMARPREET KAUR,Male,"M.A., B.Ed",,16,14,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
TRINITY PUBLIC SCHOOL,1630526,PUNJAB,GURDASPUR,"MEHAR CHAND ROAD, 
GURDASPUR",143521,http://www.trinitypublicschool.in,2004,,Anita Mahajan,Male,"M.Sc. , B.Ed.",,14,24,Secondary Level,,"From :
                                01/04/2024  
                                 To :
                                31/03/2029",,
JAI VATIKA PUBLIC SCHOOL,1630527,PUNJAB,SANGRUR,"JAI VATIKA PUBLIC SCHOOL, THIKRIWALA CHOWK, SANGHERA BYE-PASS ROAD",148101,,2005,01 Apr 2007,Ms. Parvinder Kaur,Female,"M.Sc, B.Ed, MDBA",,8,24,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Jai Vatika Welfare Society,
THE BRITISH SCHOOL,1630528,PUNJAB,RUPNAGAR,SECTOR 70 MOHALI,160069,http://www.britishschool.org,2005,01 Apr 2008,REENA SETHI,,MSC M.ED,,22,23,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",sanjay gandhi educational society,
SUMMER FIELDS SCHOOL,1630529,PUNJAB,MOGA,"V.P.O. DROLI BHAI, DISTT. MOGA",142001,,2005,01 Apr 2005,Umesh Kumar,Female,M.A. B.Ed,,10,10,Secondary Level,,"From :
                                01/04/2017  
                                 To :
                                31/03/2022",Summer Fields School Society,
GREEN VALLEY CONVENT SCHOOL,1630530,PUNJAB,MOGA,"RANSIH KHURD ROAD, NEAR NEW GRAIN MARKET,
NIHAL SINGH WALA",142055,,2006,01 Apr 2006,JYOTI NARULA,Male,M.A. B.ED,,1,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Shri Lajpat Rai Memorial Charitable & Educational  Trust,
SILVER VATIKA PUBLIC SCHOOL,1630531,PUNJAB,MANSA,"BHIKHI-BARNALA ROAD, SAMAON ( DISTT. MANSA)",151504,www.silvervatika.com,2001,02 Apr 2001,Kirna Rani,Male,"M.A, Bed",,8,12,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Late Sh. Krishan Chand Singla Memorial Educational Society Bhikhi,
GREEN LAND CONVENT SCHOOL,1630532,PUNJAB,LUDHIANA,"SECTOR 32 , CHANDIGARH ROAD",141000,,2007,13 Apr 2007,VINITA SANAN,Female,"MSC, BED",,17,26,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",SANT KIRPAL VIDYAK MISSION (REGD.),
LAKSHMI TARA RATHOUR PUBLIC SCHOOL,1630533,PUNJAB,RUPNAGAR,"SIALBA MAJRI, TEHSIL- KHARAR, DISTT. ROPAR",140110,,2005,04 Jan 2004,NIVEDITA SHARMA,Male,"M.Sc , B.sc, B.Ed",,05,18,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",SMT. KAILASH VOHRA EDUCATIONAL SOCIETY (Regd.),
THE OXFORD SCHOOL OF EDUCATION,1630534,PUNJAB,BATHINDA,"BHAGTA BHAI KA BAJA KHANA ROAD,BHAGTA BHAI KA,(PUNJAB)",151206,,2004,03 May 2004,ROOP LAL BANSAL,,"M.A. in English, B.ED, CIC",,15,19,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",The Oxford Educational and welfare Society Bhagta Bhai Ka Distt.Bathinda.,
PARADISE PUBLIC SCHOOL,1630535,PUNJAB,FEROZEPUR,"ZIRA, FEROZEPUR ROAD ZIRA",142047,ppssszira.com,2004,26 Apr 2003,AVINASH SINGH,Male,MA MSC HONS MPHILL,,14,32,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",PARADISE EDUCATIONAL SOCIETY,
GURU TEG BAHADUR PUBLIC SCHOOL,1630536,PUNJAB,FARIDKOT,VPO MEHMUANA,151203,http://www.gtbpschool.in,2001,,ANUPMA,Male,MA BED,,12,25,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
SACRED SOUL CONVENT SCHOOL,1630537,PUNJAB,LUDHIANA,"DUGRI ROAD, DHANDRA, DISTT. LUDHIANA, PUNJAB-141116",141116,http://www.zeeschoolvaranasi.com,2002,11 Apr 2011,POONAM MALHOTRA,Female,M Com M A  Economics B Ed M Phil,,4,11,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Swami Vishudhanand Foundation,
SARVHITKARI VIDYA MANDIR (MANSOORPUR) KHAMANO,1630538,PUNJAB,FATEHGARH SAHIB,"SARVHITKARI VIDYA MANDIR MANSOORPUR, KHAMANO TEHSIL  KHAMANO DISTRICT FATEHGARH SAHIB PB141127",141801,www.svmkhamano.com,2000,12 May 2000,Gurpreet Kaur,Male,"M.A, B.Ed",,8,11,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Sarvhitkari Education Society(registered),
GREEN LAND CONVENT SCHOOL,1630539,PUNJAB,LUDHIANA,"PHASE II, DUGRI",141007,,2007,13 Apr 2007,GEETIKA SHARMA,,MA HINDI EDUCATION BEd,,7,19,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",SANT KIRPAL VIDYAK MISSION (REGD.),
NANKANA SAHIB SENIOR SECONDARY PUBLIC SCHOOL,1630540,PUNJAB,LUDHIANA,"VPO KILA RAIPUR
DISTT LUDHIANA
PUNJAB 141201",141201,,1986,01 Apr 1986,SAPANDEEP KAUR GILL,Female,"PHD PSYCHOLOGY, MA ENGLISH",,9,7,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Grewal Education Society,
ST. MARY'S SCHOOL,1630541,PUNJAB,PATIALA,"CHAURA ROAD, SANAUR, PATIALA",147103,,2004,05 Apr 2004,Fr Joby George,Male,MA B.Ed,,13,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",st.mary''''''''s cmi educational and charitable society,
ST.SOLDIER DIVINE PUBLIC SCHOOL,1630542,PUNJAB,GURDASPUR,BATHWALA ROAD GREATER KAILASH COLONY NEAR GOVT. COLLEGE PLAYGROUND,143521,,2008,01 Nov 2007,KULJINDER KAUR,Female,MA ENGLISH AND HISTORY B.ED M.PHIL,,0,13,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",St.Soldier Educational Society Jalandhar/Delhi,
MOTHER'S PRIDE INTERNATIONAL PUBLIC SCHOOL,1630543,PUNJAB,JALANDHAR,"MALASIAN, TEH. NAKODAR, DISTT. JALLANDHAR, PUNJAB-144701",144701,,2005,01 Apr 2003,RAJNI BALA,Male,"MBA, MA, BED",,10,5,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Muni Education Society,
GREEN LAND CONVENT SCHOOL,1630544,PUNJAB,LUDHIANA,"NEW SUBHASH NAGAR,NEAR BASTI JODHEWAL,",141007,www.greenlandsubhasnagar.com,2007,13 Apr 2007,JYOTI PUJARA,Male,PHD M.A. M.Ed.,,17,27,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SANT KIRPAL VIDYAK MISSION (REGD.),
VICTORIA PUBLIC SCHOOL,1630545,PUNJAB,LUDHIANA,"VILL. LEHRA, P.O. LEHRA, TEH. LUDHIANA, DIST. LUDHIANA",141118,,2006,01 Apr 2006,BIPAN SETHI,Female,"M.Sc.,B.Ed.",,16,12,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Sat Sahib Educational Trust,
SBRS GURUKUL,1630546,PUNJAB,MOGA,"11TH KM STONE, NH 95, VPO-MEHNA",142011,http://www.sbrsgurukul.org/,2007,,DHAWAN KUMAR,Male,BCOM BED MA ENGLISH PGDCA,,16,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
VAJRA ARMY SCHOOL,1630547,PUNJAB,LUDHIANA,DHOLEWAL ARMY COMPLEX,141007,,1994,11 Jul 1994,Monika Thakur,Female,"M.A. , B. Ed.",,2,10,Middle Class,,"From :
                                  01/04/2009
                                 To :
                                  31/03/2012",Vajra Army School Managing Committee,
SPRINGDALES PUBLIC SCHOOL,1630548,PUNJAB,KAPURTHALA,"GOINDWAL ROAD , NEAR OCTROI POST , KAPURTHALA",144601,,2004,04 Jan 2004,DEEPALI NANDA,,"MA, B.Ed, CELTA, TKT 1,2,3, DOEACC A Level",,5,11,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027",SMT. KAILASH VOHRA EDUCATIONAL SOCIETY (Regd.),
HOLY ANGEL SCHOOL,1630549,PUNJAB,SRI MUKTSAR SAHIB,"TINKONI CHOWK, MALOUT",152107,,2005,27 Sep 2004,AARTI SHARMA,,"P.HD, M.ED",,18,21,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",holy angles educational society,
MODERN HIGH SCHOOL,1630550,PUNJAB,AMRITSAR,"MATA KAULAN MARG,THE MALL , AMRITSAR",143001,https://ssssamritsar.edu.in/,1975,01 Apr 1993,GURPREET SINGH,Male,MSC APPLIED PHYSICS MPHIL BED,,7,7,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","MANAGING COMMITTEE MODERN SCHOOL MATA KAULAN MARG, AMRITSAR",
SHRI GURU TEGH BAHADUR INTERNATIONAL SR. SEC. SCHOOL,1630551,PUNJAB,KAPURTHALA,"AJIT NAGAR,",144601,,2002,02 Apr 2007,SARBJEET KAUR,,"M.COM, B.ED",,15,10,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Shri Guru Tegh Bahadur educational Society,
ANAND SAGAR ACADEMY,1630552,PUNJAB,BATHINDA,"KOIR SINGH WALA ,TEHSIL RAMPURAPHUL, BHATINDA",151108,,2005,01 Apr 2005,Suman Sharma,,"M.A, B.Ed",,14,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","ANAND SAGAR EDUCATIONAL SOCIETY ( Regd. )  KOIR SINGH WALA , TEHSIL PHUL , DISTRICT BHATINDA",
DORAHA PUBLIC SCHOOL,1630553,PUNJAB,LUDHIANA,"DORAHA PUBLIC SCHOOL,
DORAHA",141421,http://www.dops.in,2008,,MONIKA SARWAL,Male,"M.A., B.Ed.",,7,24,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
SARVHITKARI KESHAV VIDYA NIKETAN,1630554,PUNJAB,JALANDHAR,"GURU GOBIND SINGH AVENUE
BYE PASS ROAD,JALANDHAR",144009,,2004,05 Oct 2003,ARVIND KUMAR,Male,"MSC MATHEMATICS ,B.ED",,15,24,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",SARV HITKARI EDUCATIONAL SOCIETY (PUNJAB) REGD.,
BABA ISHER SINGH ( N) PUBLIC SCHOOL,1630555,PUNJAB,AMRITSAR,"D-BLOCK , RANJIT AVENUE AMRITSAR",143001,,1993,01 Apr 1993,AJENDRA TIWARI,Male,"M.Sc,   B.Ed",,10,10,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",BABA ISHER SINGH (N) EDUCATION TRUST,
SOCIAL CONVENT INTERNATIONAL SCHOOL,1630556,PUNJAB,JALANDHAR,"VILLAGE PATTARKALAN , OPP. PTU , KAPURTHALA ROAD , JALANDHAR",144002,www.socialgroupofinstutions.in,2008,02 Apr 2008,APINDERJEET KAUR,Male,MA BED,,3,10,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","SOCIAL MODEL EDUCATIONAL SOCIETY (Regd.) BASTI SHEIKH , MANJIT NAGAR, JALANDHAR",
RMBDAV  CENTENARY PUBLIC SCHOOL,1630557,PUNJAB,SHAHID BHAGAT SINGH NAGAR,"MUSAPUR ROAD,
NAWANSHAHR",144514,,1987,01 Feb 1987,Sonali Sharma,,M.SC/B.Ed,,17,17,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",DAV CMC NEW DELHI,
KNIGHTS INTERNATIONA PUBLIC SCHOOL,1630558,PUNJAB,SANGRUR,"KNIGHTS INTERNATIONAL PUBLIC SCHOOL, ALLAL ROAD, V & PO MULLOWAL  (DHURI)",148024,,2008,02 Apr 2008,S D Nair,,"M A, M Sc, B Ed",,10,24,Senior Secondary Level,,"From :
                                 01/04/2020 
                                 To :
                                 31/03/2025",Shri Shri Mangesh Educational Society,
ST.MANU'S CONVENT SCHOOL,1630559,PUNJAB,JALANDHAR,"MOGA ROAD
SHAHKOT",144702,,1980,03 Apr 2006,Ritu Pathak,,"M.A., B.Ed",,17,8,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",The Managing Committee St. Manu's Convent School. Shahkot,
SHREE ATAM VALLABH JAIN VIDYAMANDIR SCHOOL,1630560,PUNJAB,FEROZEPUR,"SHREE ATAM VALLABH JAIN VIDYAMANDIR SCHOOL, ZIRA(FEROZEPUR)",142047,,2008,08 Apr 2008,SHALLU SOOD,,"MA ENGLISH, B.ED.",,2,22,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Shri Atam Vallabh Jain Vidya Peeth,
DCM  PRESIDENCY SCHOOL,1630561,PUNJAB,LUDHIANA,"URBAN ESTATE, PHASEIII, JAMALPUR, OPP GOL MARKET, CHANDIGARH ROAD, LUDHIANA",141010,,2009,01 Apr 2008,RAJNI KALRA,Female,M.Com. B.Ed,,23,23,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",D.C.Model High School,
JIYA LAL MITTAL D.A.V. PUBLIC SCHOOL,1630562,PUNJAB,GURDASPUR,"V.P.O. HAYAT NAGAR, KALANAUR ROAD",143521,www.jlmdav.com,2004,05 Apr 2004,Rajiv Bharti,Female,"M.sc, B.Ed",,17,10,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","Dayanand Anglo  Vedic College  Managing Committee, New Delhi",
JESUS SAVIOUR'S SCHOOL,1630563,PUNJAB,FATEHGARH SAHIB,NEAR TEHSIL COMPLEX,141127,http://www.gmail.com,2007,02 Apr 2007,SAM JEGAN RAJ,,"MSC,BED",,6,10,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",GOOD SHEPHERD''S SOCIAL AND EDUCATIONAL CHARITABLE SOCIETY(REGD),
GB INTERNATIONAL SCHOOL,1630564,PUNJAB,PATIALA,"PATIALA ROAD, NABHA DIST PATIALA PUNJAB) 147201",147201,,2008,07 Apr 2008,Poonam Rani,Female,MA. BEd,,11,24,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",GB Education Society (Regd.),
ANEE'S SCHOOL,1630565,PUNJAB,RUPNAGAR,SHIVJOT ENCLAVE KHARAR ROPAR,140301,www.aneesschool.com,2007,26 Mar 2008,SUNIL KUMAR KALA,Female,"MA,  BED",,14,20,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",AGGARWAL EDUCATIONAL TRUST (REGD),
MODERN SECULAR PUBLIC SCHOOL,1630566,PUNJAB,SANGRUR,"MALERKOTLA-KHANNA ROAD, MALERKOTLA-148023, DISTT. SANGRUR (PB.)",148023,http://mspsmalerkotla.com,2005,01 Apr 2005,SUKHINDER KAUR,Male,"M.A., B.ED.",,9,17,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","TEESRA NETAR EDUCATIONAL & SOCIAL SOCIETY, RANWAN (MALERKOTLA)",
"MODERN SECULAR PUBLIC SCHOOL,",1630567,PUNJAB,SANGRUR,"MALERKOTLA - RAIKOT ROAD, SHERGARH CHEEMA, DISTT. SANGRUR (PUNJAB)",148023,http://mspsshergarhcheema.com,2002,01 Apr 2002,PUNEET AMANDEEP SINGH SOHI,Male,"M.Sc.,M.Ed,Ph.D.",,6,21,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","SECULAR EDUCATIONAL SOCIETY,DHURI (SANGRUR)",
MILLENNIUM PUBLIC SCHOOL,1630568,PUNJAB,GURDASPUR,NAUSHERA MAJHA SINGH-143518 GURDASPUR,143518,http://www.mpsnms.com,2001,02 Apr 2001,MEENA PRASHAR,Male,"M.A ENG,HINDI,EDU, B.ED",,5,24,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",MILLENNIUM PUBLIC SCHOOL EDUCATION SOCIETY,
"GURU NANAK INTERNATIONAL PUBLIC SCHOOL,",1630569,PUNJAB,LUDHIANA,"I-BLOCK, BHAI RANDHIR SINGH NAGAR, LUDHIANA",141012,http://wwxyz.com,1987,01 Apr 1987,KAMALVIR KAUR,Female,"M.COM., B.ED",,2,20,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Guru Nanak Education Trust,
FABLE PUBLIC SCHOOL,1630570,PUNJAB,FARIDKOT,"JAITU ROAD,DISTT FARIDKOT",151204,,2007,01 Apr 2007,SUKHJINDER SINGH,,MA B.Ed,,5,6,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",SADA RAM BANSAL MEMORIAL  SCHOOL,
DAV PUBLIC SCHOOL,1630571,PUNJAB,PATIALA,"NEAR CHAK AMRITSARIA, PATRAN ROAD, SAMANA DISTT:-PATIALA (PUNJAB)",147101,www.davsamana.org,2007,02 Apr 2007,Mohan Lal Sharma,Male,M.A. B.Ed.,,1,24,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","DAV COLLEGE TRUST AND MANAGEMENT SOCIETY, NEW DELHI",
D.A.V KRB PUBLIC SCHOOL,1630572,PUNJAB,MOGA,"MOGA ROAD KOT ISE KHAN MOGA, KOT ISE KHAN,",142043,,2007,02 Apr 2007,Jaswinder Kaur,,MA B. Ed,,10,15,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",DAV College Trust & Management Society,
